Title,Location,start_salary,max_salary,skills
Aerospace Engineering,Hyderabad,2000,2000,"ANSYS, AutoCAD, Catia, English Proficiency Spoken, English Proficiency Written, MATLAB, MSExcel, SolidWorks"
Business Development (Sales),"Delhi, Gurgaon",15000,15000,"Digital Marketing, MSExcel, Social Media Marketing"
Mechanical Engineering,Delhi,8000,15000,"MSOffice, SolidWorks"
Social Media Marketing (Content Creation),"Delhi, Gurgaon",10000,10000,"Content Marketing, Facebook Marketing, Instagram Marketing, Social Media Marketing, Video Editing, Video Making"
Social Media Marketing,"Delhi, Gurgaon, South",10000,15000,"Digital Marketing, Email Marketing, English Proficiency Written, Facebook Marketing, Instagram Marketing, Social Media Marketing"
Content Writing,Kolkata,9000,9000,"Blogging, Creative Writing, English Proficiency Spoken, English Proficiency Written, Search Engine Optimization SEO, Social Media Marketing"
Geography Teacher,Pune,8000,8000,Teaching
Graphic Design,Noida,7000,7000,"Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, UI, UX Design"
Sales,Bangalore,8000,8000,"Sales, Sales pitch"
Illustrator,Noida,7000,7000,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Design Thinking, Digital Art"
Graphic Design,Pune,15000,35000,"Adobe After Effects, Adobe Indesign, Adobe Photoshop, Adobe Photoshop Lightroom CC, Canva, Figma"
Human Resources (HR),Noida,7000,7000,"English Proficiency Spoken, English Proficiency Written, Google Workspace, MSExcel, MSOffice, MSWord, Recruitment"
Interior Designer - 3D Visualizer Interior Designer - 3D Visualizer,Vasai-Virar,10000,10000,"3ds Max, AutoCAD, Google SketchUp, MSOffice"
Talent Acquisition,Jaipur,5000,10000,"English Proficiency Spoken, English Proficiency Written, Human Resource Information System HRIS, MSExcel, Recruitment"
Cloud SaaS Software Support,Delhi,5000,12000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written"
Graphic Design,Delhi,5000,12000,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, Blender 3D, Canva, Cinema 4D, CorelDRAW, Social Media Marketing, Video Editing"
Creative Design,Bangalore,5000,5000,"Adobe Illustrator, Adobe Photoshop, CAD"
Sales,"Lucknow, Bangalore",2000,15000,"CSS, Effective Communication, English Proficiency Spoken, Git, Google Suite G Suite"
Talent Acquisition,"Ghaziabad, Noida",10000,15000,"English Proficiency Spoken, English Proficiency Written"
Graphic Design,Ghaziabad,10000,10000,"Adobe Illustrator, Adobe Photoshop, Digital Marketing, Social Media Marketing"
Business Development - Sales (Diveristy Hiring for female candidates only),Bangalore,15000,15000,"Digital Marketing, Email Marketing, Lead Generation, Sales, Social Media Marketing"
Branding & Client Engagement,Mumbai,10000,15000,"Client Interaction, Client Relationship, English Proficiency Spoken, English Proficiency Written, Market Analysis, Marketing Campaigns"
Teaching,Mumbai,11000,11000,"English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, Teaching"
Business Development (Vendor Relations),Bangalore,5000,10000,"Effective Communication, Negotiation, Problemsolving, Project Management"
Video Editing/Making,"Pune, Bangalore",10000,10000,"Adobe Illustrator, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making"
Technical Speaker,"Delhi, Pitampura",1000,10000,"HTMLCSS, JavaScript, Python, React, Teaching"
Video Editing/Making,"Gurgaon, Jaipur",7000,15000,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making"
Marketing,Dombivli,10000,15000,"Digital Marketing, Email Marketing, MSExcel, Social Media Marketing"
Founders Office,Mumbai,10000,10000,"Canva, Effective Communication, English Proficiency Spoken, English Proficiency Written, MSOffice"
Recruitment,"Ghaziabad, Noida",10000,15000,"English Proficiency Spoken, MSExcel, MSOffice"
3D Printing,Gurgaon,15000,18000,"Rapid Prototyping, SolidWorks"
Digital Marketing,"Lucknow, Bangalore",2000,15000,"Creative Writing, CSS, Email Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Git, HTML, HTMLCSS, Instagram Marketing, JavaScript, Python, Search Engine Marketing SEM, Search Engine Optimization SEO, TypeScript"
Django Developer,Delhi,20000,25000,"Bootstrap, HTML, Python"
Recruitment Consultant,Bangalore,10000,15000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, Recruitment"
Blender Animation,"Lucknow, Bangalore",2000,15000,"Blender 3D, Canva, CSS, English Proficiency Spoken, English Proficiency Written, Google Suite G Suite, Google Workspace, Video Editing"
Social Service,Remote,1500,10000,"Advanced Excel, Business Analysis, Business Research, Client Relationship, Data Analysis, Effective Communication, English Proficiency Spoken, English Proficiency Written, Instagram Marketing, Social Media Marketing, Time Management"
Digital Marketing,Gurgaon,10000,20000,"Digital Marketing, Email Marketing, English Proficiency Spoken"
Business Development (Sales),Kolkata,3000,8000,"Bengali Proficiency Spoken, Bengali Proficiency Written, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, Social Media Marketing"
Digital Marketing,Dehradun,2000,2000,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written"
Web Technical Support,Delhi,5000,5000,"Digital Marketing, PHP"
Social Entrepreneurship,Remote,600,4500,"Business Analysis, Business Research, Content Writing, Creative Writing, Digital Advertising, Email Marketing"
Field Sales,Ahmedabad,5000,5000,"English Proficiency Spoken, Hindi Proficiency Spoken"
Customer Service/Customer Support,Dehradun,8000,8000,Effective Communication
Teaching Assistance - Electric Vehicle (Embedded Systems & MATLAB),Gurgaon,18000,18000,"Effective Communication, Embedded Systems, MATLAB, Online Teaching"
Customer Service/Customer Support,Coimbatore,8000,8000,"CRM, English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice"
Company Secretary (CS),"Lucknow, Bangalore",2000,15000,"Accounting, APIs, CSS, English Proficiency Spoken, GitHub, Google Suite G Suite, Python, Statutory compliances"
Social Work,Remote,1500,10000,"Advanced Excel, Business Analysis, Client Relationship, Content Marketing, Effective Communication, English Proficiency Spoken, English Proficiency Written, Market Analysis, Marketing, Marketing Campaigns, MSExcel, Report Writing, Social Media Marketing, Time Management"
Telecalling,Delhi,5000,8000,Effective Communication
Video Editing/Making,Gurgaon,5000,5000,"Adobe Premiere Pro, Final Cut Pro, Video Editing"
Digital Marketing,Ludhiana,15000,20000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, Instagram Marketing, Social Media Marketing"
Digital Marketing,"Mohali, Zirakpur",2000,6000,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Corporate Sales,Gurgaon,10000,15000,"English Proficiency Spoken, English Proficiency Written, MSOffice"
UI/UX Design,Mumbai,5000,10000,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Adobe XD, Design Thinking, Effective Communication, English Proficiency Spoken, English Proficiency Written, Figma, Sketch, UI, UX Design, User Interface UI Development, Wireframing"
Inside Sales,Noida,10000,15000,"English Proficiency Spoken, English Proficiency Written, Sales, Sales pitch"
Executive Assistant,Ranchi,10000,10000,MSOffice
Operations,Delhi,12000,12000,"MSExcel, MSOffice"
Telesales,"Delhi, Ranchi",10000,10000,Effective Communication
Quality Assurance - Data Annotation,Bangalore,10000,10000,"Data Analysis, Effective Communication, Quality AssuranceQuality Control QAQC, Research and Analytics, Time Management"
Videography,Mumbai,10000,12000,"Adobe After Effects, Adobe Premiere Pro, Photography, Video Making"
