Title,Location,start_salary,max_salary,skills
Human Resources (HR),"Mohali, Chandigarh",2000,3000,"English Proficiency Spoken, MSOffice"
Sales Consultant,"Ahmedabad, Delhi, Kolkata, Pune, Hyderabad, Mumbai, Cochin",7500,7500,"Effective Communication, English Proficiency Spoken, Marketing Campaigns, Sales pitch"
LinkedIn Profile Management,Remote,5000,5000,"Content Writing, English Proficiency Spoken, English Proficiency Written, Marketing Campaigns, Research and Analytics, Social Media Marketing"
Business Development Sales - Female Candidates,Pune,5000,5000,"English Proficiency Spoken, Hindi Proficiency Spoken"
Talent Acquisition,Hyderabad,15000,15000,Effective Communication
E-Commerce Sales,Raipur,5000,8000,"Fashion Styling, Sales, Sales pitch"
Data Science,Chennai,20000,20000,"Data Analytics, Data Science, Deep Learning, Google AdWords, Machine Learning, Microsoft PowerApps, Python"
Front End Development,Nagpur,10000,10000,"AngularJS, Bootstrap, CSS, HTML, JavaScript, MEANMERN Stack, Nodejs, ReactJS"
Comedy Script Writer,Pune,5000,10000,"Content Writing, Creative Writing"
WordPress Development,Nagpur,10000,10000,"PHP, Search Engine Optimization SEO, WordPress"
Interior Design,Pune,8000,8000,"3ds Max, Adobe Photoshop, AutoCAD, Google SketchUp"
Process,Noida,15000,20000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, Problem Solving"
Sales Operations,Mumbai,5000,12000,"Effective Communication, MSOffice"
3D Animation,Remote,25000,35000,"Autodesk Maya, Blender 3D"
Short Video And Graphics Designing,Bhubaneswar,8000,8000,"Canva, Design Thinking, Video Editing, Video Making"
Digital Marketing,"Thane, Navi Mumbai, Dombivli, Kalyan, Mumbai, Vashi, Turbhe, Panvel",8000,10000,"Amazon Web Server AWS, Amazon Web Services AWS, Content Marketing, Content Writing, Digital Marketing, Facebook Ads, Facebook Marketing, Google AdWords, Google Analytics, Instagram Marketing, Internet of Things IoT, Marketing, Search Engine Optimization SEO, Social Media Marketing"
Mutual Fund Back Office,"Thane, Navi Mumbai, Dombivli, Kalyan, Mumbai, Vashi, Turbhe, Panvel",8000,10000,"Advanced Excel, MSExcel, Stock Trading"
Video Editing/Making,Kolkata,6000,12000,"Adobe Photoshop, Adobe Premiere Pro, Video Editing, Video Making"
Research,Mumbai,7000,7000,"Business Analysis, Data Analysis, Effective Communication, MSExcel, MSWord, Time Management"
Mern Stack Developer,Jaipur,8000,10000,"HTML, HTMLCSS, JavaScript, MongoDB, Nodejs, React, ReactJS"
Product Management Instructor,Remote,20000,20000,"Production Engineering, Product Management, Product Strategy, UX Research"
Youth Officer,Remote,1500,10000,"Advanced Excel, Business Analysis, Business Research, Content Marketing, Digital Marketing, Effective Communication, Email Marketing, English Proficiency Spoken, English Proficiency Written, Market Analysis, Marketing Campaigns, MSWord, Time Management"
Python Developer (Django Serverless),Remote,2500,6000,"Django, MS SQL Server, Python"
CAD Design,Bangalore,20000,20000,CAD
Telemarketing (Female Only),Remote,1000,3000,"English Proficiency Spoken, Hindi Proficiency Spoken, MSExcel, MSWord"
Digital Marketing,Aurangabad,6000,6000,"Facebook Marketing, Google AdWords, Social Media Marketing"
Cyber Security,Remote,6000,12000,"Computer Networking, Ethical Hacking, Linux, Python, VAPT, Web Application Security"
Social Media Marketing,Ghaziabad,3000,6000,"Creative Writing, Digital Marketing, Instagram Marketing, Photography, Social Media Marketing"
Market Research & Development,Remote,2000,2000,"English Proficiency Spoken, English Proficiency Written, Google Suite G Suite"
Quantitative Investment Analysis,Remote,5000,10000,"Data Analysis, Python"
Electrical Engineering,"Ahmedabad, Gandhinagar",5000,5000,"Analog And Digital Circuits, Arduino, AutoCAD, Autodesk Fusion 360, Circuit Design, PCB Design, PCB Soldering"
Manufacturing Excellence,"Faridabad, Delhi, Gurgaon",10000,10000,"MSExcel, Production Engineering"
Accounting & Tally,Lucknow,2000,10000,"Accounting, Tally"
Mern Stack,Remote,2500,7000,"Expressjs, GitHub, MongoDB, Nodejs, ReactJS, REST API"
Video Editing/Making,Pimpri-Chinchwad,15000,15000,"Final Cut Pro, Photography, Video Editing, Video Making"
Female Trainer,Bangalore,15000,15000,"Online Teaching, Stock Trading, Teaching"
Tele Sales & Tele Marketing,Bangalore,8000,8000,"Client Relationship, English Proficiency Spoken, Marketing, Social Media Marketing"
3D Motion Designer,Remote,6000,12000,"Adobe After Effects, Blender 3D, Cinema 4D"
Customer Service (Non-Voice Backend Process),Mumbai,15000,15000,"Advanced Excel, Effective Communication, English Proficiency Spoken, English Proficiency Written, MSExcel"
Sales Officer - Medical Industry,Remote,1000,10000,Sales
Nutritionist / Dietitian,Delhi,2000,5000,"DieteticsNutrition, Email Marketing, English Proficiency Written"
Instagram Reels Creator,Remote,3000,3000,"Effective Communication, Video Making"
Architecture,"Mohali, Zirakpur, Panchkula, Chandigarh",8000,8000,"Adobe Photoshop, AutoCAD, Google SketchUp, MSOffice"
Digital Marketing,"Chennai, Avadi",4000,6000,"Creative Writing, Digital Marketing, Email Marketing, Facebook Marketing, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Editorial,Gurgaon,15000,20000,"Creative Writing, English Proficiency Written, Proofreading"
Travel Consultant,Greater Noida,2000,2000,"Holiday Package Design, Operations, Sales, Travel Itinerary Making"
Digital Marketing,"Delhi, Ghaziabad, Noida",6000,10000,"English Proficiency Spoken, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Content Development & Marketing For Sustainable Fashion Startup,Remote,4000,6000,"Content Marketing, Creative Writing, Digital Marketing"
Associate Consultant,Ajmer,5000,8000,"Accounting, English Proficiency Spoken, English Proficiency Written, Google Workspace, MSOffice, Statutory compliances"
Tech Mentor,Remote,5000,5000,"Data Science, Django, Java, MEANMERN Stack, Python, ReactJS"
Video Editor/Graphic Designer,Remote,2000,2000,"Adobe After Effects, Adobe Photoshop, Adobe Photoshop Lightroom CC"
Talent Acquisition,"Thane, Mumbai",7500,7500,"Effective Communication, Interpersonal Skills, Recruitment"
Field Executive,Bangalore,15000,15000,"Sales, Salesforce, Sales pitch"
CA Articleship,Pune,7000,7000,"Accounting, English Proficiency Spoken, English Proficiency Written, MSOffice, Problem Solving, Statutory compliances"
Business Analyst,Mumbai,7000,7000,"Effective Communication, MSExcel, MSWord, Power BI, Tableau, Time Management"
Journalism,Noida,10000,10000,"Anchoring, Creative Writing, English Proficiency Spoken, English Proficiency Written, Video Editing, Video Making"
Photographer And Videographer,Delhi,5000,8000,"Adobe Creative Suite, Canva, Photography, Video Editing"
Sales,"Delhi, Gurgaon",15000,20000,"Content Marketing, English Proficiency Written, Holiday Package Design, MSExcel, Sales, Travel Itinerary Making"
Product Development,Bangalore,10000,20000,"Mechanical, Electrical Product Design"
Fundraiser,Delhi,5000,5000,Sales
Server Admin & Networking,Chandigarh,10000,12000,"Bash, Nginx, Python"
Backend Development,Kolkata,10000,10000,Golang
Data Entry,Surat,5000,5000,"Gujarati Proficiency Spoken, MSExcel"
Marketing,"Chandigarh, Panchkula",3000,3000,"Digital Marketing, Effective Communication, Email Marketing, MSOffice"
Office Coordinator,Noida,15000,15000,"5 days a week, Job offer"
ECommerce,Remote,2000,2000,Social Media Marketing
Auditing & Accounting,Mumbai,5000,5000,"MSExcel, Tally"
Business Management,Mumbai,5000,10000,"MSExcel, MSOffice"
Laravel Expert,Remote,4000,4000,"AJAX, jQuery, LARAVEL"
Telecalling,Indore,12000,12000,Effective Communication
Administration,Noida,10000,12000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSPowerPoint, MSWord"
Angular.js Development,Ahmedabad,8000,8000,"Angular 20, AngularJS, CSS, HTML, JavaScript"
Interior Design,Remote,10000,10000,Google SketchUp
Talent Acquisition,Pune,10000,10000,"Effective Communication, MSExcel"
Customer Success,Remote,10000,10000,"CRM, Sales"
Digital Marketing & Business Development Intern,Kolkata,8000,8000,"Digital Marketing, Facebook Marketing, Instagram Marketing, LinkedIn Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Cloud Computing,Remote,15000,15000,"Amazon Web Services AWS, Cloud Computing, Microsoft Azure"
Sales Consultant,Bangalore,4000,4000,Sales
Financial Technical Analysis (Intraday Trading),Remote,19000,19000,"Financial literacy, Financial Modeling, Mathematics, Stock Trading"
Operations & Event,Kolkata,8500,8500,"English Proficiency Spoken, English Proficiency Written, MSOffice"
Operations,Jodhpur,6000,6000,"Business Analysis, Interpersonal Skills, MSExcel, MSOffice"
Network Engineering,Remote,15000,15000,"CCNA, Computer Networking, Computer Networks, Linux"
Accounting & Bookkeeping,Mumbai,10000,10000,"Accounting, MSExcel, Tally"
Luxury Retail Consultant,Delhi,15000,25000,"Canva, Copywriting, Effective Communication, Marketing, MSOffice"
Horticulturist - Landscape Supervisor,Karnataka,5000,15000,"Accounting, Creative Writing, English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, Kannada Proficiency Spoken, MSExcel, MSWord"
Administration,Thane,13000,13000,"Marathi ProficiencySpoken, Marathi ProficiencyWritten, MSExcel, MSOffice, MSPowerPoint, MSWord"
Business Development (Sales),"Delhi, Ghaziabad, Noida",15000,15000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Interpersonal Skills, MSExcel, MSOffice, Sales"
Video Editing/Making,"Faridabad, Delhi, Noida",6000,10000,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making"
Fashion Design And Merchandising,Delhi,5000,5000,Fashion Designing
Music Producer,Remote,2000,5000,"Ableton Live, Audio Editing, Audio Making, FL Studio formerly known as FruityLoops, Music"
Inventory Manager,Remote,5000,5000,MSExcel
Inside Sales,"Delhi, Bangalore",30000,30000,"Informal dress code, 5 days a week"
Investment,Thane,5000,5000,"Effective Communication, Financial literacy, Investing, MSExcel, Research and Analytics"
Blockchain Developer – Exchange And Wallet Development,Remote,5000,10000,Blockchain
Architecture,Bodhgaya,10000,10000,"3ds Max, AutoCAD, Autodesk Revit, Google SketchUp, MSOffice, No Match Found"
Finance & Accounting,Mohali,10000,10000,"Accounting, Tally"
Telecaller,Bangalore,15000,15000,Effective Communication
Enterprise Sales Intern,Bangalore,30000,30000,Sales
Software Engineering (Devops),Remote,10000,10000,DevOps
Soil Health Analytics,Noida,12000,12000,"Interpersonal Skills, LabVIEW, MSExcel, MSOffice"
Freelance Business Development Executive,Remote,10000,10000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Sales, Sales pitch"
HR Consultant,Remote,2000,2000,English Proficiency Spoken
Motion Graphics,Gurgaon,15000,25000,"Adobe After Effects, Adobe Flash, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Animation, Video Editing, Video Making"
Human Resources (HR),Coimbatore,2000,2000,"English Proficiency Spoken, MSOffice, MSWord"
Editorial Research,Gurgaon,20000,20000,"English Proficiency Spoken, English Proficiency Written, MSExcel, Research and Analytics"
Marketing,Hinjawadi,5000,7000,"Digital Marketing, English Proficiency Written"
Content Creation & Production,Mumbai,10000,10000,Content Marketing
Motion Graphic/Graphic Designer,Delhi,15000,15000,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Figma"
SMO,Jaipur,3000,7000,"Display Advertising, Market Analysis, Marketing Campaigns, Marketing Programs, Marketing Strategies, Social Media Marketing"
Business Development (Sales),"Guwahati, Noida",10000,10000,"English Proficiency Spoken, MSExcel"
MediaServer - Engineering,Remote,10000,10000,"Linux, Python, Shell Scripting"
Field Sales,Gurgaon,7000,7000,"Effective Communication, English Proficiency Spoken, Hindi Proficiency Spoken, MSPowerPoint, Sales"
Marketing and Sales,Chandigarh,10000,12000,"Digital Marketing, Marketing, Sales, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Robotics,Pimpri-Chinchwad,15000,22000,"Embedded Systems, Plc Programming, Python, Robotics, Robot Operating System ROS"
2D Animation and Motion Graphics,Remote,5000,5000,"Creative Writing, Email Marketing, Facebook Marketing, Social Media Marketing"
Accounts,Navi Mumbai,8000,8000,"Accounting, English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, Tally"
Videography,Surat,4000,4000,"Photography, Video Editing, Video Making"
Volunteering,Dehradun,4000,5000,"English Proficiency Spoken, Hindi Proficiency Spoken, MSExcel, MSOffice, MSPowerPoint"
Video Editing/Making,Aurangabad,5000,5000,"Adobe Illustrator, Adobe Premiere Pro, Content Marketing, Video Editing, Video Making"
Sales and Service Engineer,Delhi,10000,10000,"Email Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice"
Finance Video Content,Remote,15000,15000,"Accounting, Financial Modeling, Video Editing, Video Making"
Human Resources (HR),"Sikar, Vanasthali, Jaipur",2000,2000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSWord"
English Content,Kolkata,8500,8500,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice"
Graphic Design And  Video Editing,Remote,3000,7000,"Adobe Photoshop, Design Thinking, Video Editing, Video Making"
Sales Consultant,Bhopal,10000,10000,"Email Marketing, Marketing Campaigns, Sales, Sales pitch"
Copywriting,Ahmedabad,3000,3000,"Copywriting, Creative Writing, English Proficiency Written"
Talent Acquisition,"Navi Mumbai, Vashi",10000,10000,"English Proficiency Spoken, English Proficiency Written, MSExcel"
Sales Executive,Nagpur,5000,5000,"Effective Communication, No Match Found"
Artificial Intelligence (AI),Delhi,20000,20000,"Artificial Intelligence, C Programming, Computer Vision, Data Science, Data Structures, Deep Learning, Image Processing, Machine Learning, Natural Language Processing NLP, Neural Networks, Problem Solving, Python"
Graphic Design,Dehradun,5500,5500,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro"
Performance Marketing,Bangalore,15000,15000,"Facebook Ads, Google AdWords, Performance Management System"
Event & Membership Management,Mumbai,10000,10000,"Data Analysis, Effective Communication, MSExcel"
Accounts And Admin,Navi Mumbai,20000,25000,"Accounting, MSExcel, Tally"
Web Development,Mumbai,5000,5000,"CSS, HTML, JavaScript, jQuery, PHP, ReactJS, WordPress"
Mathematics Expert Doubt Solving,Remote,5000,6000,Mathematics
Equity Support,Mumbai,3000,3000,Investing
System Modeling & Machine Learning (Mechanical Engineering),Bhubaneswar,10000,10000,"MATLAB, Python"
School Partnership Executive,Remote,15000,15000,"Business Research, Marketing, Sales, Social Media Marketing"
NURSERY/PRIMARY TEACHER (ENGLISH),Delhi,6500,8000,"English Proficiency Spoken, Teaching"
"Graphic Design, Video Editing","Delhi, Noida",5000,5000,"Adobe Indesign, Adobe Photoshop, Sketch, Video Editing"
2D Animation,Remote,7500,7500,"Adobe Photoshop, Animation, Krita"
Graph Engineer,Remote,40000,40000,"Deep Learning, Machine Learning, Python"
Digital Marketing And Public Relations,Remote,4000,5000,"Content Marketing, Content Writing, Digital Advertising, Digital Marketing, Marketing, Marketing Campaigns, Marketing Programs, Marketing Strategies, Market Research, Social Media Marketing"
Sales and Marketing,Delhi,12000,12000,"Google AdWords, Instagram Marketing, Sales, Social Media Marketing"
Performance Marketing & SEO Support,Remote,8000,8000,"Digital Marketing, Facebook Marketing, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Product Design,Noida,15000,15000,"3ds Max, Adobe Photoshop, Autodesk Fusion 360, Rhino"
Operations Executive - Ecommerce,Noida,15000,15000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, Power BI"
Research Coordinator,Delhi,2500,2500,Informal dress code
Lead Generation - India IT Staffing,Thane,3000,3000,"Lead Generation, Sales"
Full Stack,Pune,5000,10000,"Java, Python, React"
Innovation Management,"Ahmedabad, Delhi, Pune, Bangalore, Hyderabad, Mumbai",22000,22000,"Effective Communication, Interpersonal Skills, Operations"
Program Associate,Remote,1500,10000,"Business Analysis, Business Research, Effective Communication, English Proficiency Spoken, English Proficiency Written, Event Management, Marketing, MSOffice, Product Management, Project Management, Time Management"
Graphics & UI/UX Design,Remote,5000,5000,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, CorelDRAW, Figma, Photography"
Aide Supervisor,Remote,1500,10000,"Advanced Excel, Business Research, Content Marketing, Creative Writing, Effective Communication, English Proficiency Spoken, English Proficiency Written, Marketing, MSExcel, MSOffice, MSWord, Product Strategy, Time Management"
Content Management,Remote,7000,7000,"Content Marketing, Content Writing, Search Engine Optimization SEO"
UI/UX Designer,Bangalore,8000,12000,"Adobe Creative Suite, Figma, MSWord"
CAD Design,Salem,2000,2000,"ANSYS, AutoCAD, Autodesk Fusion 360, CAD, Catia, NX Siemens formerly Unigraphics NX, Software Testing, SolidWorks"
Travel & Tourism,Guwahati,3000,3000,"Content Marketing, Content Writing, Effective Communication, English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, Holiday Package Design, MSExcel, Travel Itinerary Making"
Interior Design,Hyderabad,5000,10000,"Adobe Photoshop, AutoCAD, Google SketchUp"
Business Development (Sales),"Ghaziabad, Delhi, Kaushambi, Ghaziabad",10000,10000,"Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel"
Fashion Design,Madurai,3000,5000,"Adobe Illustrator, Adobe Photoshop, CorelDRAW, Photography"
International Business Development,Pune,8000,8000,"Email Marketing, English Proficiency Spoken, English Proficiency Written, German Proficiency Spoken, German Proficiency Written, Lead Generation, MSExcel"
Product Management,"Ahmedabad, Chandigarh, Chennai, Coimbatore, Pune, Surat, Ahmednagar, Bangalore, Vadodara, Mumbai, Kochi, Jaipur, Nagpur, Nashik, Goa Velha",20000,20000,"English Proficiency Spoken, Product Lifecycle ManagementPLM, Product Management"
Social Media Marketing,"Ahmedabad, Chennai, Kolkata, Lucknow, Pune, Ranchi, Surat, Bangalore, Vadodara, Mumbai, Jaipur, Noida, Nagpur, Nashik, Keralapuram",15000,15000,"Creative Writing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, Social Media Marketing, YouTube Ads"
Business Development (Sales),"Chennai, Delhi, Ghaziabad, Gurgaon, Kolkata, Patna, Pune, Ranchi, Bangalore, Hyderabad, Bhopal, Mumbai, Noida, Nagpur, Nashik",20000,20000,"English Proficiency Spoken, English Proficiency Written, MSExcel"
Mechanical Engineering,"Chennai, Kolkata, Pune, Ranchi, Udaipur, Bangalore, Hyderabad, Mumbai, Pimpri-Chinchwad, Nagpur, Nashik",18000,18000,"AutoCAD, CAD, Catia, MSOffice"
Web Development,"Akola, Aurangabad, Chennai, Delhi, Kolkata, Patna, Pune, Amravati, Ahmednagar, Hyderabad, Mumbai, Baramati, Noida, Nashik, Andhra Pradesh",20000,20000,"C Programming, CSS, HTML, Java, JavaScript, SQL"
Operations,"Ahmedabad, Indore, Jamshedpur, Kolkata, Pune, Ranchi, Shimla, Shillong, Udaipur, Hyderabad, Bhopal, Mumbai, Nagpur, Nashik, Gwalior West",15000,15000,"English Proficiency Spoken, English Proficiency Written, Event Management, MSOffice"
Business Development (Sales),"Thane, Dombivli, Mumbai",10000,15000,"English Proficiency Spoken, English Proficiency Written, MSExcel"
Administration,"Bhimavaram, Akividu, Eluru, Kaikaluru, Gudivada",3000,3000,"English Proficiency Spoken, English Proficiency Written, MSOffice, MSWord, Negotiation, Problemsolving, Telugu Proficiency Spoken, Telugu Proficiency Written"
Telecalling,Jaipur,10000,10000,"English Proficiency Spoken, MSExcel"
Video Editing And Social Media Management,Remote,1000,3000,"Social Media Marketing, Video Editing"
HR Recruitment,Mohali,2000,2000,"English Proficiency Spoken, MSExcel, Recruitment"
Accounting & Taxation,Mumbai,4000,15000,"Accounting, Advanced Excel, Tally"
Recruitment,Hyderabad,10000,10000,"English Proficiency Spoken, English Proficiency Written"
CA Articleship,Noida,10000,25000,"Accounting, MSExcel, Tally"
Site Engineering - (Interior And Construction),Hyderabad,10000,10000,"AutoCAD, Estimation estimating, Quantity Survey QS"
Propulsion Engineer,Delhi,25000,35000,ANSYS
PHP Development,Mumbai,8000,8000,"HTML, PHP"
Marketing,Guwahati,5000,7000,"Assamese Proficiency Spoken, Digital Marketing, English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, MSExcel, Social Media Marketing"
Customer Service/Customer Support,Pune,15000,25000,"English Proficiency Spoken, English Proficiency Written, MSOffice"
Field Marketing And Performance Analytics,Bangalore,10000,10000,"Data Analysis, Data Analytics, Effective Communication, Kannada Proficiency Spoken, Sales"
Customer Service/Customer Support,"Shivaji Nagar, Bangalore",12000,12000,Hindi Proficiency Spoken
UI/UX Design,"Thane, Mumbai",10000,15000,"Figma, UI, UX Design"
Legal Research,"Mapusa, South Goa, North Goa, Goa Velha, Arambol, Vagator",10000,15000,"Flexible work hours, Informal dress code, 5 days a week, Job offer"
Travel Consultant,Faridabad,10000,15000,"Effective Communication, English Proficiency Spoken, Holiday Package Design, Interpersonal Skills, Market Research, MSExcel, MSWord, Travel Itinerary Making"
Online Marketing,Jaipur,7000,12000,"Effective Communication, English Proficiency Written, Marketing"
Social Media Manager,Delhi,8000,12000,"Content Writing, Creative Writing, Photography, Video Making"
Video Editing Specialist,Remote,10000,10000,"Adobe After Effects, Adobe Premiere Pro, Canva, Social Media Marketing, Video Editing"
Sales,Delhi,5000,5000,"CRM, Effective Communication, English Proficiency Spoken, HTML, iOS, JavaScript, Nodejs, Sales, Sales pitch"
Stock Market Executive,Faridabad,5000,10000,Stock Trading
Business Research,Bangalore,5000,10000,"English Proficiency Spoken, MSExcel, Research and Analytics"
Business Strategy Associate,"Thane, Mumbai",10000,20000,"Business Analysis, CRM, Data Analysis, Sales"
Graphic Design,"Delhi, Gurgaon",10000,10000,"Adobe Illustrator, Adobe Photoshop, Canva, Design Thinking, Video Editing"
Anchoring,Ghaziabad,10000,10000,"Anchoring, English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, Video Editing, Video Making"
Corporate Sales,Lucknow,10000,20000,"English Proficiency Spoken, English Proficiency Written"
Product Marketing,"Ahmedabad, Gandhinagar",4000,4000,"Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Search Engine Marketing SEM, Social Media Marketing"
Email Marketing Handling,Remote,5000,5000,Email Marketing
Growth (LinkedIn Research & Corporate Marketing),Remote,10000,10000,"Data Analysis, LinkedIn Marketing, Market Analysis, Marketing, Marketing Campaigns, Market Research"
Human Resources (HR),Mohali,15000,15000,"English Proficiency Spoken, English Proficiency Written, Event Management, Problem Solving"
Law/Legal,Faridabad,3000,3000,"English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, Hindi Proficiency Written, TypeScript"
Mobile App Development,"Gurgaon, Faridabad, Delhi, Noida",2500,2500,"Android, Bubbleio, Flutter, iOS"
Videography,Delhi,3000,8000,"Photography, Video Editing, Video Making"
Business Journalism,Remote,6000,6000,"Business Research, Canva, English Proficiency Written, Financial literacy, MSExcel, MSOffice, MSWord, Report Writing"
Data collector,"Coimbatore, Kochi, Jaipur",2000,2000,"English Proficiency Written, Hindi Proficiency Spoken"
Digital Marketing,"Chandigarh, Mohali, Zirakpur, Dera Bassi, Panchkula",8000,10000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written"
Instructional Designer,Remote,18000,18000,MSPowerPoint
.NET Development,Delhi,7000,7000,"NET, ASPNET, C, CNET, MS SQL Server"
International Business Development,Kolkata,4000,7000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice"
Robotics R&D Developer + Educator,Jaipur,10000,17000,"Arduino, ARM Microcontroller, C Programming, Circuit Design, Embedded Systems, Internet of Things IoT, PCB Design, Python, Raspberry Pi"
Business Analysis,Jaipur,8000,8000,"Data Analytics, English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, Research and Analytics, SQL"
Launch Intern,Mumbai,15000,15000,"Advanced Excel, MySQL, Project Management"
SEO,Jaipur,3000,7000,"CMS, Content Marketing, Market Analysis, Marketing Campaigns, Marketing Strategies, Research and Analytics, Search Engine Optimization SEO"
Human Resources (HR),"Thane, Navi Mumbai, Mumbai",6000,12000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSWord"
Vendor Acquisition,Remote,5000,5000,"Effective Communication, Negotiation, Problemsolving, Problem Solving, Sales, Sales pitch"
International Business Development,Lucknow,10000,10000,"English Proficiency Spoken, MSOffice"
Social Media Marketing,Vapi,5000,5000,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Accounting & Tally,Kolkata,3000,5000,"Accounting, Tally"
Field Sales,Pune,5000,5000,"Marketing, Sales"
Search Engine Optimization (SEO),Thane,8000,8000,"Google AdWords, Google Analytics, Search Engine Marketing SEM, Search Engine Optimization SEO"
Corporate Relations,Hyderabad,7000,10000,Job offer
PHP Development,Vadodara,5000,5000,"AJAX, JavaScript, jQuery, MySQL, PHP"
Architecture,Jhansi,8000,8000,"Adobe Photoshop, AutoCAD, Autodesk Revit, Google SketchUp, MSOffice"
On Camera Content Creator (Reels/Shorts),Remote,10000,12000,"Video Editing, Video Making"
Business Development (Sales),Thane,5000,5000,"Digital Marketing, MSExcel, MSPowerPoint, Sales pitch, Social Media Marketing"
Electronics/Electrical Research & Engineering,Mumbai,15000,15000,"Circuit Design, English Proficiency Written, Internet of Things IoT, MSExcel"
Electronics Engineering,"Vadodara, Vijapur, Jasdan",3000,5000,"Analog And Digital Circuits, ARM Microcontroller, Circuit Design, C Programming, Internet of Things IoT, PCB Design"
Angular - Web Developer,Pune,8000,12000,"Angular 20, Angular 70, CSS, HTML, JavaScript, Nodejs, PostgreSQL"
Lead Generation,Nagpur,5000,5000,"English Proficiency Spoken, English Proficiency Written"
Linkedin Sales Navigator Outbound Lead Gen,Remote,6000,7500,"Effective Communication, Lead Generation, Marketing Strategies"
Resellers And Partnerships,Remote,12000,12000,"CRM, Effective Communication, MSExcel, MSWord, Problem Solving, Time Management"
Quality Check Specialist (Mathematics),Gurgaon,30000,30000,"Operations, Quality AssuranceQuality Control QAQC"
Asp.net Development,Remote,3000,5000,"AJAX, ASPNET, C, CNET, CSS, HTML, JavaScript, SQL"
Business Development (Sales),"Bangalore, Hyderabad, Mumbai",10000,15000,"English Proficiency Spoken, English Proficiency Written, MSExcel"
Flutter Development,Noida,15000,15000,"Dart, Flutter"
Sales & Marketing,Delhi,20000,25000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSWord"
Content Writing,Navi Mumbai,2500,2500,"Creative Writing, English Proficiency Spoken, English Proficiency Written, Social Media Marketing"
Office Executive,Remote,5000,5000,Human Resource Information System HRIS
Sales,"Delhi, South",6000,6000,"Effective Communication, Time Management"
Library Coordinator,Guwahati,3000,5000,"Assamese Proficiency Spoken, English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, Hindi Proficiency Written, Painting, Sketching, Social Media Marketing, Teaching"
Psychology,"Delhi, Ghaziabad, Gurgaon, Noida",4000,7000,"Business Research, English Proficiency Written, Market Analysis, MSOffice, Psychology, Research and Analytics"
Digital Marketing,"Mumbai, Navi Mumbai",7500,7500,"Client Relationship, Content Writing, Digital Marketing, Email Marketing, English Proficiency Spoken, Marathi ProficiencySpoken, WordPress"
Content Writing,Lucknow,3000,3000,"Blogging, Creative Writing, Digital Marketing, English Proficiency Written, Search Engine Optimization SEO, Social Media Marketing"
Digital Marketing,"Chandigarh, Kharar, Mohali, Zirakpur, Manauli",5000,7000,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency Written, Facebook Ads, Facebook Marketing, Google AdWords, Instagram Marketing, MSOffice, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
